             x                y                z         azimuth        dip        iRx
   8496.15234      -2715.76758       790.000000       30.0000000               0         445
  -1996.15234      -8542.56250       790.000000       30.0000000               0         446
   601.923828      -7042.56250       790.000000       30.0000000               0         447
   3200.00000      -5542.56250       790.000000       30.0000000               0         448
   5798.07617      -4042.56250       790.000000       30.0000000               0         449
   8396.15234      -2542.56250       790.000000       30.0000000               0         450
  -2096.15234      -8369.35742       790.000000       30.0000000               0         451
   501.923828      -6869.35742       790.000000       30.0000000               0         452
   3100.00000      -5369.35742       790.000000       30.0000000               0         453
   5698.07617      -3869.35742       790.000000       30.0000000               0         454
   8296.15234      -2369.35742       790.000000       30.0000000               0         455
  -2196.15234      -8196.15234       790.000000       30.0000000               0         456
   401.923828      -6696.15234       790.000000       30.0000000               0         457
   3000.00000      -5196.15234       790.000000       30.0000000               0         458
   5598.07617      -3696.15234       790.000000       30.0000000               0         459
   8196.15234      -2196.15234       790.000000       30.0000000               0         460
  -2296.15234      -8022.94727       790.000000       30.0000000               0         461
   301.923828      -6522.94727       790.000000       30.0000000               0         462
   2900.00000      -5022.94727       790.000000       30.0000000               0         463
   5498.07617      -3522.94727       790.000000       30.0000000               0         464
   8096.15234      -2022.94727       790.000000       30.0000000               0         465
  -2396.15234      -7849.74219       790.000000       30.0000000               0         466
   201.923828      -6349.74219       790.000000       30.0000000               0         467
   2800.00000      -4849.74219       790.000000       30.0000000               0         468
   5398.07617      -3349.74219       790.000000       30.0000000               0         469
   7996.15234      -1849.74219       790.000000       30.0000000               0         470
  -2496.15234      -7676.53711       790.000000       30.0000000               0         471
   101.923828      -6176.53711       790.000000       30.0000000               0         472
   2700.00000      -4676.53711       790.000000       30.0000000               0         473
   5298.07617      -3176.53711       790.000000       30.0000000               0         474
   7896.15234      -1676.53711       790.000000       30.0000000               0         475
  -2596.15234      -7503.33203       790.000000       30.0000000               0         476
   1.92382812      -6003.33203       790.000000       30.0000000               0         477
   2600.00000      -4503.33203       790.000000       30.0000000               0         478
   5198.07617      -3003.33203       790.000000       30.0000000               0         479
   7796.15234      -1503.33203       790.000000       30.0000000               0         480
  -2696.15234      -7330.12695       790.000000       30.0000000               0         481
